Input,Cantab Pron,Dictionary Word,Dictionary Pron
multilayer,M AH L T IY L EY ER,multilayer,|adjective muhl-tee-ley-er, muhl-tahy-; noun muhl-ti-ley-er|
n.f.u.,EH N EH F Y UW,------------,------------
nationalizations,N AE SH N AH L AH Z EY SH AH N Z,nationalize,|nash-uh-nl-ahyz, nash-nuh-lahyz|
neumar,N UW M ER,------------,------------
nimrod's,N IH M R AA D Z,Nimrod,nim-rod
nonconsensual,N AA N K AA N S EH N S UW AH L,consensual,kuh n-sen-shoo-uh l
nuovo,N W OW V OW,------------,------------
odinga,OW D IY NG G AH,------------,------------
openings,OW P AH N IH NG Z,opening,oh-puh-ning
ottenhoff,AA T AH N HH AO F,------------,------------
overspent,OW V ER S P EH N T,overspend,oh-ver-spend
palgrave,P AE L G R EY V,Palgrave,|pawl-greyv, pal-|
parsimonious,P AA R S AH M OW N IY AH S,parsimonious,pahr-suh-moh-nee-uh s
peculiarities,P IH K Y UW L IY EH R AH T IY Z,peculiarity,|pi-kyoo-lee-ar-i-tee, -kyool-yar-|
perpetuates,P ER P EH CH AH W EY T S,perpetuate,per-pech-oo-eyt
photorealistic,F OW T AO EH AH L IH S T IH K,photorealism,foh-toh-ree-uh-liz-uh m
pithiviers,P IH TH AY V ER Z,------------,------------
poinsettia,P OY N S EH T AH,poinsettia,|poin-set-ee-uh, -set-uh|
poseurs,P AH S ER Z,poseur,poh-zur; French paw-zœr
preacher's,P R IY CH ER Z,preacher,pree-cher
princeton's,P R IH N S T AH N Z,Princeton,prins-tuh n
protector,P R AH T EH K T ER,protector,pruh-tek-ter
pushiness,P UH SH IY N IH S,pushy,poo sh-ee
quran,K UH R AH N,Quran,|koo-rahn, -ran|
rampone,R AE M P OW N IY,------------,------------
re-organised,R EY AO R G AH N IH Z D,reorganize,ree-awr-guh-nahyz
recyclables,R IY S AY K L AH B AH L Z,------------,------------
reimbursement,R IY IH M B ER S M AH N T,reimburse,ree-im-burs
replant,R IY P L AE N T,replant,|ree-plant, -plahnt|
retracted,R IY T R AE K T AH D,retract,ri-trakt
rigueur,R IH G ER,larigueur,a la ree-gœr
roller,R OW L ER,roller,roh-ler
royo,R OY OW,------------,------------
saboor,S EY B UH R,------------,------------
sammi,S AE M IY,------------,------------
savak,S AH V AH K,------------,------------
schulze,SH UH L T S,------------,------------
secures,S IH K Y UH R Z,secure,si-kyoo r
sentimentally,S EH N T AH M EH N T AH L IY,sentimental,sen-tuh-men-tl
shap,SH AE P,------------,------------
shonn,SH AA N,------------,------------
silently,S AY L AH N T L IY,silent,sahy-luh nt
skurnik,S K ER N IH K,------------,------------
snee,S N IY,------------,------------
soon,S UW N,soon,soon
spiehs,S P IY Z,------------,------------
stahlschmidt,S T AE L SH M IH T,------------,------------
stevie's,S T IY V IY Z,------------,------------
stripped,S T R IH P T,stripped,stript
sufi,S AH F IY,Sufi,soo-fee
surreal,S ER IY L,surreal,|suh-ree-uh l, -reel|
syrias,S IH R IY AH Z,Syria,seer-ee-uh
tangy,T AE NG IY,tangy,tang-ee
teheran,T EH HH ER AA N,Teheran,|te-ran, -rahn, te-huh-, tey-uh-; Persian te-hrahn|
thames,T EH M Z,Thames,|temz for 1, 2; theymz, teymz, temz for 3|
tianya,T Y AA N Y AH,------------,------------
tolerances,T AA L ER AH N S IH Z,tolerance,tol-er-uh ns
tradespeople,T R EY D Z P IY P AH L,tradespeople,treydz-pee-puh l
trien,T R IY AH N,------------,------------
tunnelled,T AH N AH L D,tunnel,tuhn-l
ukuleles,Y UW K UW L L EH S,ukulele,yoo-kuh-ley-lee; Hawaiian. oo-koo-ley-ley
undertrained,AH N D ER T R EY N D,train,treyn
unrated,AH N R EY T IH D,------------,------------
ustinov's,Y UW S T IH N AA V Z,------------,------------
veitch,V AY CH,------------,------------
vilmorin,V IH L M AO R IH N,------------,------------
w.b.c.,D AH B AH L Y UW B IY S IY,------------,------------
washwood,W AA SH W UH D,------------,------------
westeinde,W EH S T AY N D,------------,------------
whupping,W AH P IH NG,whup,|hwuhp, wuhp|
wittier,W IH T IY ER,witty,wit-ee
wyeth,W AY EH TH,Wyeth,wahy-uh th
yoann,Y OW N,------------,------------
zerefos,Z IH R AH F OW Z,------------,------------
